color,created_at,distance,internal_node_id,rt,rt_total,tag,theta,time_elapsed,trial_index,trial_type,width,x,y,url
green,2019-09-02T09:39:06.717Z,0,0.0-1.0-18.0-1.0,1100,1100,post-task-center,0,90551,46,fittss-law,20,644.8000030517578,312.53334045410156,
green,2019-09-02T09:39:06.717Z,0,0.0-0.0-6.0,1347,1347,trial-task-center,0,37448,6,fittss-law,20,649.8000030517578,325.53334045410156,
green,2019-09-02T09:39:06.717Z,0,0.0-1.0-7.0-1.0,1233,1233,post-task-center,0,63399,24,fittss-law,20,653.8000030517578,316.53334045410156,
blue,2019-09-02T09:39:06.717Z,77.2293071783277,0.0-1.0-26.0-0.0,1082,1082,,3.963113083173696,108331,61,fittss-law,25.658443632847394,560.8000030517578,238.53334045410156,
green,2019-09-02T09:39:06.717Z,0,0.0-1.0-10.0-1.0,999,999,post-task-center,0,69320,30,fittss-law,20,650.8000030517578,321.53334045410156,
blue,2019-09-02T09:39:06.717Z,76.66060032546324,0.0-1.0-2.0-0.0,1000,1000,,0.8814679942335226,50209,13,fittss-law,24.81725766580125,733.8000030517578,416.53334045410156,
green,2019-09-02T09:39:06.717Z,0,0.0-1.0-28.0-1.0,1233,1233,post-task-center,0,113734,66,fittss-law,20,654.8000030517578,316.53334045410156,
blue,2019-09-02T09:39:06.717Z,132.31020312860795,0.0-1.0-17.0-0.0,1166,1166,,2.0970279056256698,86849,43,fittss-law,25.579553819866405,540.8000030517578,503.53334045410156,
green,2019-09-02T09:39:06.717Z,0,0.0-0.0-2.0,2010,2010,trial-task-center,0,31534,2,fittss-law,20,648.8000030517578,324.53334045410156,
green,2019-09-02T09:39:06.717Z,0,0.0-1.0-3.0-1.0,1283,1283,post-task-center,0,53827,16,fittss-law,20,648.8000030517578,317.53334045410156,
blue,2019-09-02T09:39:06.717Z,186.123361937049,0.0-1.0-29.0-0.0,1633,1633,,1.0745670026319931,115369,67,fittss-law,14.320522589393116,793.8000030517578,593.5333404541016,
blue,2019-09-02T09:39:06.717Z,24.46845757023056,0.0-1.0-27.0-0.0,1130,1130,,6.119217414290208,110415,63,fittss-law,28.90297902234044,691.8000030517578,316.53334045410156,
green,2019-09-02T09:39:06.717Z,0,0.0-1.0-25.0-1.0,1049,1049,post-task-center,0,107247,60,fittss-law,20,649.8000030517578,323.53334045410156,
blue,2019-09-02T09:39:06.717Z,160.3123317662235,0.0-1.0-4.0-0.0,1351,1351,,2.8312386862803676,55180,17,fittss-law,14.960323930839527,399.8000030517578,404.53334045410156,
green,2019-09-02T09:39:06.717Z,0,0.0-1.0-2.0-1.0,1115,1115,post-task-center,0,51325,14,fittss-law,20,648.8000030517578,321.53334045410156,
green,2019-09-02T09:39:06.717Z,0,0.0-1.0-19.0-1.0,1465,1465,post-task-center,0,93069,48,fittss-law,20,640.8000030517578,329.53334045410156,
blue,2019-09-02T09:39:06.717Z,67.94186505579516,0.0-1.0-7.0-0.0,1280,1280,,0.2591050090268947,62166,23,fittss-law,29.113511561711313,758.8000030517578,345.53334045410156,
green,2019-09-02T09:39:06.717Z,0,0.0-1.0-22.0-1.0,1228,1228,post-task-center,0,100591,54,fittss-law,20,650.8000030517578,324.53334045410156,
blue,2019-09-02T09:39:06.717Z,96.28444697104,0.0-1.0-9.0-0.0,950,950,,2.05196120933516,66235,27,fittss-law,20.772656049258906,572.8000030517578,461.53334045410156,
,2019-09-02T09:39:06.717Z,,0.0-0.0-0.0,2697,,,,3222,0,external-html,,,,./fitts-law_agreement.html
blue,2019-09-02T09:39:06.717Z,186.21465293856838,0.0-1.0-5.0-0.0,1350,1350,,1.108271507692685,57746,19,fittss-law,28.033647925200434,784.8000030517578,590.5333404541016,
green,2019-09-02T09:39:06.717Z,0,0.0-1.0-29.0-1.0,1051,1051,post-task-center,0,116421,68,fittss-law,20,648.8000030517578,320.53334045410156,
green,2019-09-02T09:39:06.717Z,0,0.0-1.0-16.0-1.0,1199,1199,post-task-center,0,85682,42,fittss-law,20,650.8000030517578,317.53334045410156,
blue,2019-09-02T09:39:06.717Z,111.55496234312061,0.0-1.0-25.0-0.0,1198,1198,,3.528790771614654,106195,59,fittss-law,14.220165587264262,477.8000030517578,260.53334045410156,
blue,2019-09-02T09:39:06.717Z,153.40851046470092,0.0-1.0-16.0-0.0,1600,1600,,1.7804283359212756,84481,41,fittss-law,21.354448470096766,595.8000030517578,571.5333404541016,
green,2019-09-02T09:39:06.717Z,0,0.0-1.0-26.0-1.0,948,948,post-task-center,0,109282,62,fittss-law,20,646.8000030517578,313.53334045410156,
green,2019-09-02T09:39:06.717Z,0,0.0-1.0-20.0-1.0,1148,1148,post-task-center,0,95788,50,fittss-law,20,657.8000030517578,326.53334045410156,
green,2019-09-02T09:39:06.717Z,0,0.0-1.0-23.0-1.0,1064,1065,post-task-center,0,102760,56,fittss-law,20,651.8000030517578,323.53334045410156,
blue,2019-09-02T09:39:06.717Z,120,0.0-0.0-5.0,1214,1214,trial-task-center,5.689906552669424,36098,5,fittss-law,10,809.8000030517578,214.53334045410156,
green,2019-09-02T09:39:06.717Z,0,0.0-1.0-17.0-1.0,1300,1300,post-task-center,0,88150,44,fittss-law,20,654.8000030517578,321.53334045410156,
blue,2019-09-02T09:39:06.717Z,175.33104755737932,0.0-1.0-11.0-0.0,1400,1400,,0.7686268271813487,70721,31,fittss-law,24.344835260040114,852.8000030517578,517.5333404541016,
blue,2019-09-02T09:39:06.717Z,95.73933524044338,0.0-1.0-23.0-0.0,1102,1101,,3.191175106547635,101694,55,fittss-law,16.48680908697439,490.8000030517578,318.53334045410156,
blue,2019-09-02T09:39:06.717Z,31.48574139717639,0.0-1.0-13.0-0.0,1114,1114,,5.115203628073276,76276,35,fittss-law,26.179827593234656,664.8000030517578,270.53334045410156,
green,2019-09-02T09:39:06.717Z,0,0.0-1.0-5.0-1.0,1132,1132,post-task-center,0,58880,20,fittss-law,20,649.8000030517578,319.53334045410156,
green,2019-09-02T09:39:06.717Z,0,0.0-1.0-21.0-1.0,1165,1165,post-task-center,0,98307,52,fittss-law,20,647.8000030517578,320.53334045410156,
green,2019-09-02T09:39:06.717Z,0,0.0-1.0-14.0-1.0,1151,1151,post-task-center,0,79830,38,fittss-law,20,652.8000030517578,318.53334045410156,
green,2019-09-02T09:39:06.717Z,0,0.0-1.0-0.0-1.0,1181,1181,post-task-center,0,47005,10,fittss-law,20,649.8000030517578,325.53334045410156,
green,2019-09-02T09:39:06.717Z,0,0.0-1.0-4.0-1.0,1209,1210,post-task-center,0,56394,18,fittss-law,20,652.8000030517578,327.53334045410156,
,2019-09-02T09:39:06.717Z,,0.0-0.0-7.0,5153,,,,42949,7,external-html,,,,./fitts-law_explanation2.html
green,2019-09-02T09:39:06.717Z,0,0.0-1.0-6.0-1.0,829,829,post-task-center,0,60882,22,fittss-law,20,651.8000030517578,323.53334045410156,
green,2019-09-02T09:39:06.717Z,0,0.0-0.0-4.0,1962,1962,trial-task-center,0,34881,4,fittss-law,20,651.8000030517578,326.53334045410156,
